lsoa_code,trust_code
E01000645,RJ2
E01000646,RJ2
E01000647,RJ2
E01000648,RJ2
E01000649,RJZ
E01000650,RJZ
E01000651,RJZ
E01000652,RJZ
E01000653,RJ2
E01000661,RJZ
E01000662,RJZ
E01000663,RJZ
E01000664,RJZ
E01000665,RJZ
E01000666,RJZ
E01000667,RJZ
E01000668,RJZ
E01000669,RJZ
E01000670,RJZ
E01000671,RJZ
E01000672,RJZ
E01000673,RPA
E01000674,RJZ
E01000676,RJZ
E01000677,RJZ
E01000678,RJZ
E01000679,RJZ
E01000680,RPA
E01000681,RJ1
E01000682,RJZ
E01000683,RJZ
E01000684,RJZ
E01000685,RJZ
E01000686,RJZ
E01000687,RJZ
E01000688,RJZ
E01000689,RAX
E01000690,RAX
E01000691,RAX
E01000692,RAX
E01000693,RAX
E01000694,RJZ
E01000695,RAX
E01000696,RAX
E01000697,RJZ
E01000698,RJZ
E01000699,RJZ
E01000700,RJZ
E01000701,RJZ
E01000702,RJZ
E01000703,RJZ
E01000704,RJZ
E01000706,RJZ
E01000707,RJZ
E01000708,RJZ
E01000709,RJZ
E01000710,RJZ
E01000711,RJZ
E01000712,RJZ
E01000713,RPA
E01000714,RJZ
E01000715,RJZ
E01000716,RPA
E01000717,RPA
E01000718,RJZ
E01000719,RJZ
E01000720,RJ1
E01000721,RJZ
E01000722,RJZ
E01000723,RJ1
E01000724,RJZ
E01000725,RJZ
E01000726,RJ1
E01000727,RJZ
E01000728,RPA
E01000729,RJZ
E01000730,RJZ
E01000731,RJZ
E01000732,RJZ
E01000733,RJZ
E01000734,RJZ
E01000735,RPA
E01000736,RJZ
E01000737,RJZ
E01000738,RJZ
E01000739,RJZ
E01000747,RJZ
E01000749,RJZ
E01000750,RJZ
E01000751,RJZ
E01000752,RJZ
E01000753,RJZ
E01000754,RJ1
E01000755,RJ1
E01000756,RJZ
E01000757,RJ1
E01000758,RJ1
E01000759,RJZ
E01000760,RJZ
E01000761,RJZ
E01000762,RJZ
E01000763,RJZ
E01000764,RJZ
E01000765,RJZ
E01000766,RJZ
E01000767,RJZ
E01000768,RJZ
E01000769,RVR
E01000770,RJZ
E01000771,RJZ
E01000772,RJZ
E01000773,RJZ
E01000774,RJZ
E01000775,RJZ
E01000777,RJZ
E01000778,RJ6
E01000783,RJZ
E01000784,RJZ
E01000785,RJZ
E01000786,RJZ
E01000787,RJZ
E01000788,RJZ
E01000789,RJZ
E01000790,RJZ
E01000791,RJZ
E01000792,RJZ
E01000793,RJZ
E01000794,RJZ
E01000795,RJZ
E01000797,RJZ
E01000799,RJZ
E01000801,RJZ
E01000804,RJZ
E01000807,RJZ
E01000808,RJZ
E01000809,RJZ
E01000810,RJZ
E01000811,RJZ
E01000812,RJZ
E01000813,RJZ
E01000814,RJZ
E01000815,RJZ
E01000816,RJZ
E01000818,RJZ
E01000819,RJZ
