trust_code,cqc_overall,cqc_well_led,cqc_any_below_good,cqc_latest_pub
RL4,Good,Good,True,31/05/2017
RYR,Good,Good,True,27/02/2026
RXK,Requires improvement,Good,True,31/10/2017
RTH,Good,Good,True,18/08/2017
RWF,Requires improvement,Good,True,31/08/2023
R0A,Good,Good,True,30/12/2020
R0D,Good,Good,True,31/01/2020
R1F,Good,Good,True,23/09/2021
R1H,Requires improvement,Good,True,28/04/2017
R1K,Good,Good,True,31/08/2018
RA2,Good,Good,False,31/03/2025
RA7,Good,Good,True,16/08/2019
RA9,Requires improvement,Good,True,29/05/2025
RAE,Good,Good,False,28/11/2025
RAJ,Requires improvement,Requires improvement,True,27/10/2023
RAL,Good,Good,True,28/03/2024
RAN,Good,Good,True,22/03/2019
RAS,Requires improvement,Requires improvement,True,24/07/2018
RAX,Good,Good,False,30/08/2018
RBD,Good,Good,False,26/09/2025
RBK,Requires improvement,Requires improvement,True,25/06/2025
RBL,Requires improvement,Good,True,31/03/2020
RBN,Good,Good,True,29/11/2019
RBQ,Outstanding,Outstanding,False,16/09/2016
RBS,Good,Good,False,23/12/2015
RBT,Good,Good,True,22/04/2024
RBV,Good,Good,False,18/11/2016
RC9,Good,Good,True,23/01/2026
RCB,Good,Good,True,30/06/2023
RCD,Good,Good,False,31/05/2017
RCF,Good,Good,True,26/05/2023
RCU,Good,Good,False,29/04/2026
RCX,Requires improvement,Requires improvement,True,24/07/2019
RD1,Good,Good,True,31/10/2024
RD8,Good,Good,False,30/07/2019
RDE,Requires improvement,Requires improvement,True,18/10/2023
RDU,Good,Good,False,28/08/2025
REF,Good,Good,True,29/08/2025
REM,Good,Good,True,30/05/2025
REN,Good,Good,False,16/04/2019
REP,Good,Good,False,23/06/2023
RET,Outstanding,Good,False,21/10/2016
RF4,Good,Good,True,22/12/2023
RFF,Good,Good,True,14/03/2018
RFR,Good,Good,True,29/09/2021
RFS,Good,Good,True,29/05/2020
RGM,Outstanding,Outstanding,False,16/10/2019
RGN,Good,Good,True,24/10/2018
RGP,Good,Good,True,18/12/2019
RGR,Good,Good,True,30/01/2020
RGT,Good,Good,True,26/02/2019
RH5,Good,Good,True,27/07/2016
RH8,Good,Good,True,30/04/2019
RHM,Good,Good,True,23/04/2015
RHQ,Good,Requires improvement,True,22/12/2022
RHU,Good,Good,True,29/01/2020
RHW,Good,Good,False,24/06/2014
RJ1,Good,Good,True,24/03/2020
RJ2,Good,Good,True,24/01/2024
RJ6,Requires improvement,Good,True,21/02/2018
RJ7,Requires improvement,Requires improvement,True,28/08/2025
RJC,Good,Good,True,28/03/2017
RJE,Good,Good,True,22/12/2021
RJL,Requires improvement,Requires improvement,True,28/05/2026
RJN,Good,Good,True,30/01/2026
RJR,Requires improvement,Requires improvement,True,29/06/2016
RJZ,Requires improvement,Requires improvement,True,31/01/2018
RK5,Good,Good,False,23/02/2023
RK9,Requires improvement,Requires improvement,True,27/05/2025
RKB,Good,Good,True,31/08/2018
RKE,Requires improvement,Good,True,28/04/2023
RL1,Good,Good,False,21/02/2019
RLQ,Requires improvement,Good,True,28/02/2024
RLT,Good,Good,False,26/02/2019
RM1,Requires improvement,Requires improvement,True,30/07/2021
RM3,Requires improvement,Good,True,27/03/2015
RMC,Good,Good,True,18/10/2023
RMP,Good,Good,True,15/03/2024
RN3,Good,Good,True,25/07/2025
RN5,Good,Good,True,29/01/2026
RN7,Good,Good,False,28/03/2018
RNA,Good,Good,True,29/06/2023
RNN,Good,Good,True,29/03/2017
RNQ,Requires improvement,Requires improvement,True,23/05/2024
RNS,Good,Good,True,24/02/2023
RNZ,Good,Good,True,24/02/2026
RP4,Good,Good,False,23/07/2025
RP5,Good,Good,True,28/03/2024
RP6,Good,Good,True,12/03/2019
RPA,Requires improvement,Requires improvement,True,30/07/2021
RPC,Good,Good,False,26/04/2016
