organisation_type,list_index,name,fdp_live,fdp_reporting_benefits,source_page,source_file,matched_nhs_code,match_method,match_confidence,matched_region,matched_sector,matched_provider_type
NHS trust,1,Airedale NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RCF,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,2,Alder Hey Children’s NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RBS,exact_normalised_tac_provider_name,1.0,North West,Specialist,NHS Foundation Trust
NHS trust,3,Ashford and St Peter’s Hospitals NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RTK,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Foundation Trust
NHS trust,4,Barnsley Hospital NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RFF,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,5,Barts Health NHS Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,R1H,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Trust
NHS trust,6,Bedfordshire Hospitals NHS Foundation Trust,True,False,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RC9,exact_normalised_tac_provider_name,1.0,East of England,Acute,NHS Foundation Trust
NHS trust,7,Blackpool Teaching Hospitals NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXL,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Foundation Trust
NHS trust,8,Bolton NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RMC,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Foundation Trust
NHS trust,9,Bradford Teaching Hospitals NHS Foundation Trust,True,False,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RAE,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,10,Buckinghamshire Healthcare NHS Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXQ,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Trust
NHS trust,11,Calderdale and Huddersfield NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RWY,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,12,Cambridge University Hospitals NHS Foundation Trust,True,False,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RGT,exact_normalised_tac_provider_name,1.0,East of England,Acute,NHS Foundation Trust
NHS trust,13,Cambridgeshire Community Services NHS Trust,True,False,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RYV,exact_normalised_tac_provider_name,1.0,East of England,Community,NHS Trust
NHS trust,14,Central London Community Healthcare NHS Trust,True,False,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RYX,exact_normalised_tac_provider_name,1.0,London,Community,NHS Trust
NHS trust,15,Central and North West London NHS Foundation Trust,True,False,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RV3,exact_normalised_tac_provider_name,1.0,London,Mental Health,NHS Foundation Trust
NHS trust,16,Chelsea and Westminster Hospital NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RQM,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Foundation Trust
NHS trust,17,Cheshire and Wirral Partnership NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXA,exact_normalised_tac_provider_name,1.0,North West,Mental Health,NHS Foundation Trust
NHS trust,18,Chesterfield Royal Hospital NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RFS,exact_normalised_tac_provider_name,1.0,Midlands,Acute,NHS Foundation Trust
NHS trust,19,Countess of Chester Hospital NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RJR,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Foundation Trust
NHS trust,20,County Durham and Darlington NHS Foundation Trust,True,True,1,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXP,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,21,Croydon Health Services NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RJ6,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Trust
NHS trust,22,Dartford and Gravesham NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RN7,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Trust
NHS trust,23,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RP5,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,24,East Cheshire NHS Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RJN,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Trust
NHS trust,25,East Kent Hospitals University NHS Foundation Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RVV,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Foundation Trust
NHS trust,26,East Lancashire Hospitals NHS Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXR,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Trust
NHS trust,27,East Of England Ambulance Service NHS Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RYC,exact_normalised_tac_provider_name,1.0,East of England,Ambulance,NHS Trust
NHS trust,28,East Suffolk and North Essex NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RDE,exact_normalised_tac_provider_name,1.0,East of England,Acute,NHS Foundation Trust
NHS trust,29,East Sussex Healthcare NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXC,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Trust
NHS trust,30,Gateshead Health NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RR7,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,31,George Eliot Hospital NHS Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RLT,exact_normalised_tac_provider_name,1.0,Midlands,Acute,NHS Trust
NHS trust,32,Gloucestershire Hospitals NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RTE,exact_normalised_tac_provider_name,1.0,South West,Acute,NHS Foundation Trust
NHS trust,33,Great Western Hospitals NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RN3,exact_normalised_tac_provider_name,1.0,South West,Acute,NHS Foundation Trust
NHS trust,34,Hampshire Hospitals NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RN5,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Foundation Trust
NHS trust,35,Harrogate and District NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RCD,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Foundation Trust
NHS trust,36,Homerton Healthcare NHS Foundation Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RQX,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Foundation Trust
NHS trust,37,Hull University Teaching Hospitals NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RWA,exact_normalised_tac_provider_name,1.0,North East and Yorkshire,Acute,NHS Trust
NHS trust,38,Imperial College Healthcare NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RYJ,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Trust
NHS trust,39,Isle Of Wight NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,R1F,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Trust
NHS trust,40,James Paget University Hospitals NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RGP,exact_normalised_tac_provider_name,1.0,East of England,Acute,NHS Foundation Trust
NHS trust,41,Kent And Medway NHS and Social Care Partnership Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXY,exact_normalised_tac_provider_name,1.0,South East,Mental Health,NHS Trust
NHS trust,42,Kettering General Hospital NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RNQ,exact_normalised_tac_provider_name,1.0,Midlands,Acute,NHS Foundation Trust
NHS trust,43,Kingston and Richmond NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RAX,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Foundation Trust
NHS trust,44,Lancashire Teaching Hospitals NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RXN,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Foundation Trust
NHS trust,45,Leeds Teaching Hospitals NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RR8,fuzzy_tac_provider_name,0.944,North East and Yorkshire,Acute,NHS Trust
NHS trust,46,Lewisham and Greenwich NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RJ2,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Trust
NHS trust,47,Liverpool Heart and Chest Hospital NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RBQ,exact_normalised_tac_provider_name,1.0,North West,Specialist,NHS Foundation Trust
NHS trust,48,Liverpool University Hospitals NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,REM,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Foundation Trust
NHS trust,49,Liverpool Women’s NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,REP,exact_normalised_tac_provider_name,1.0,North West,Specialist,NHS Foundation Trust
NHS trust,50,London Ambulance Service NHS Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RRU,exact_normalised_tac_provider_name,1.0,London,Ambulance,NHS Trust
NHS trust,51,London North West University Healthcare NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,R1K,exact_normalised_tac_provider_name,1.0,London,Acute,NHS Trust
NHS trust,52,Maidstone and Tunbridge Wells NHS Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RWF,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Trust
NHS trust,53,Manchester University NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,R0A,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Foundation Trust
NHS trust,54,Medway NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RPA,exact_normalised_tac_provider_name,1.0,South East,Acute,NHS Foundation Trust
NHS trust,55,Mersey and West Lancashire Teaching Hospitals NHS Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RBN,exact_normalised_tac_provider_name,1.0,North West,Acute,NHS Trust
NHS trust,56,Mersey Care NHS Foundation Trust,True,False,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RW4,exact_normalised_tac_provider_name,1.0,North West,Mental Health,NHS Foundation Trust
NHS trust,57,Mid and South Essex NHS Foundation Trust,True,True,2,NHS England » NHS organisations live with NHS Federated Data Platform.pdf,RAJ,exact_normalised_tac_provider_name,1.0,East of England,Acute,NHS Foundation Trust
