,A&E 4 hour performance,A&E 12 hour performance,Cancer 62 Day Combined Performance,Cancer Faster Diagnostic Standard,Diagnostics proportion waiting over 6 weeks,Percentage waiting more than 52 weeks for elective treatment,Percentage waiting within 18 weeks for elective treatment,beds,dma_overall,finance_planned_sd,productivity,segment,op_income_k,op_margin_pct,capital_k,scale_basis
R0A,0.769486744,0.03563668,0.76344086,0.834098361,0.073574255,0.00924092,0.629988887,2275.3777777777777,3.414285714285714,0.0,2.8,3.0,3099231.0,1.01,200032,3099231.0
R0B,0.780070784,0.007918179,0.753623188,0.818065343,0.180321736,8.638e-05,0.765864446,1121.3777777777777,3.442857142857143,0.0,1.3,1.0,818863.0,-1.44,74819,818863.0
R0D,0.684837653,0.096955128,0.713043478,0.757809758,0.073083779,0.00948901,0.675223315,1122.9777777777779,2.357142857142857,0.0,3.6,3.0,912218.0,-8.11,125896,912218.0
R1F,0.750363079,0.144524237,0.723577236,0.819912152,0.294310274,0.00347984,0.632196081,299.84444444444443,2.357142857142857,-2.28,12.1,3.0,282708.0,-1.98,50728,282708.0
R1H,0.757361262,0.133256307,0.840506329,0.820426487,0.272871655,0.00829284,0.624170304,2212.766666666667,3.0,0.0,2.6,3.0,2652139.0,3.19,232617,2652139.0
R1K,0.810882304,0.132075472,0.817610063,0.838541667,0.346018651,0.00950377,0.64036107,1103.1888888888889,3.1,0.0,7.4,1.0,1114373.0,-2.16,159100,1114373.0
RA2,0.739597178,0.054376658,0.844339623,0.823767179,0.139041634,0.01262734,0.64495071,539.0,,-0.92,-1.6,3.0,624612.0,-0.16,72289,624612.0
RA7,0.769987856,0.043907794,0.726907631,0.817711031,0.097510508,0.00626713,0.680356279,1094.0444444444445,1.9142857142857146,0.0,1.9,1.0,1346789.0,-2.9,145653,1346789.0
RA9,0.642488076,0.097938144,0.600694444,0.756944444,0.374218846,0.0178054,0.66387835,385.74444444444447,1.5142857142857142,-5.51,0.9,3.0,729285.0,-5.84,82416,729285.0
RAE,0.832673624,0.100891862,0.786549708,0.852614016,0.217860648,0.00200356,0.661747869,702.2888888888889,2.4714285714285715,-0.41,-5.5,3.0,656858.0,-1.53,80608,656858.0
RAJ,0.755996384,0.104420593,0.542372881,0.627358491,0.406038844,0.06983682,0.506032407,1834.1333333333334,2.4428571428571426,-5.6,6.4,4.0,1702606.0,-0.18,181636,1702606.0
RAL,0.820207373,0.12084474,0.851897185,0.80713807,0.148775948,0.00998432,0.648995942,1529.0444444444445,2.242857142857143,-1.97,3.6,3.0,1877585.0,0.59,281114,1877585.0
RAN,,,0.925,0.809815951,0.082630691,0.00143933,0.720106289,175.0222222222222,1.742857142857143,0.0,2.7,1.0,225142.0,-2.18,42609,225142.0
RAS,0.813612212,0.065955383,0.72361809,0.843799058,0.216040861,0.00303168,0.63725936,460.25555555555553,3.057142857142857,0.0,2.3,2.0,432379.0,1.45,90054,432379.0
RAX,0.790807928,0.140388769,0.851485149,0.815413013,0.180099819,0.0063382,0.68085543,460.94444444444446,2.1,-2.16,5.4,3.0,506533.42245,0.25,76527,506533.42245
RBD,0.786516854,0.111428571,0.269230769,,0.225963149,0.01130653,0.627070538,365.03333333333336,2.1714285714285713,-3.18,1.2,3.0,353288.0,5.01,50333,353288.0
RBK,0.846632271,0.035204082,0.805970149,0.87239819,0.300071502,7.326e-05,0.731914582,504.24444444444447,2.557142857142857,-6.31,6.8,3.0,482243.0,1.06,40181,482243.0
RBL,0.73844059,0.203432931,0.75862069,0.840463458,0.064147711,0.00801838,0.647512924,817.0888888888888,2.914285714285714,-4.45,1.5,4.0,539512.0,-2.05,59136,539512.0
RBN,0.778725706,0.187482219,0.863570392,0.804360465,0.133498381,0.01341373,0.66530793,1265.4222222222222,2.8999999999999995,-4.38,3.2,3.0,1000155.0,-1.19,88077,1000155.0
RBQ,,,0.696969697,0.4,0.043912176,0.00243857,0.808853874,173.37777777777777,2.8857142857142857,3.69,-4.1,1.0,268978.0,4.24,26058,268978.0
RBS,0.922935065,,1.0,0.916666667,0.026479751,0.01263412,0.685099359,213.0,3.4714285714285715,1.63,4.7,1.0,454513.0,0.2,45048,454513.0
RBT,0.665480075,0.157317073,0.753623188,0.812274368,0.082902718,0.01337957,0.624783277,559.1,2.657142857142857,-9.61,-8.6,4.0,447807.0,-4.19,46242,447807.0
RC9,0.795449077,0.041243276,0.691071429,0.799035966,0.324429461,0.00537749,0.620750237,1137.5666666666666,2.0,0.0,3.9,3.0,911243.619,0.11,143034,911243.619
RCB,0.773999376,0.053978409,0.723666211,0.771815009,0.230514096,0.01793901,0.565770322,906.5333333333333,2.414285714285714,-1.91,1.7,4.0,894576.0,-3.27,107357,894576.0
RCD,0.780676606,0.015209125,0.84965035,0.834413247,0.393002187,0.00033706,0.762422958,311.7888888888889,2.4142857142857146,-1.39,-3.3,3.0,401873.0,0.51,35842,401873.0
RCF,0.637505817,0.119116234,0.814606742,0.845549738,0.051359517,0.00309816,0.733699479,409.2111111111111,2.085714285714286,-5.53,3.5,3.0,310786.74199999997,-10.95,49095,310786.74199999997
RCU,0.94777296,0.0,1.0,1.0,0.188815061,0.01387476,0.726944778,166.32222222222222,2.6285714285714286,-1.08,2.6,3.0,344403.0,-0.99,30659,344403.0
RCX,0.66578463,0.122214234,0.565,0.699175824,0.314793795,0.01302489,0.584641815,508.56666666666666,1.8142857142857145,-7.26,-6.0,4.0,325423.0,-24.52,46758,325423.0
RD1,0.700225305,0.08087005,0.684955752,0.807435255,0.139182742,0.00547651,0.691345071,567.7666666666667,2.357142857142857,0.0,1.2,4.0,618889.92402,0.71,83793,618889.92402
RD8,0.706523219,0.060472787,0.626062323,0.774877651,0.18910686,0.02625441,0.625560672,615.0,2.0714285714285716,0.0,3.2,3.0,444542.0,1.03,68474,444542.0
RDE,0.775257567,0.09579288,0.656587473,0.740947075,0.101185141,0.00310485,0.601393233,1298.4222222222222,2.642857142857143,0.0,5.9,4.0,1219448.0,-1.98,114603,1219448.0
RDU,0.764061766,0.07686228,0.828282828,0.870480981,0.115532681,0.00903745,0.611628986,1520.3222222222223,2.757142857142857,-1.85,0.7,3.0,1121322.0,-1.68,142987,1121322.0
REF,0.787109991,0.174814815,0.74512987,0.790584978,0.116215072,0.00594897,0.736477446,745.6777777777778,2.6714285714285713,0.0,1.4,1.0,733541.0,-0.73,87753,733541.0
REM,0.742442691,0.162370449,0.765217391,0.782875368,0.110186308,0.00935175,0.62135483,1533.6333333333334,2.6142857142857143,-4.5,6.6,4.0,1377067.0,-11.21,129688,1377067.0
REP,0.819156062,,0.625,0.754342432,0.043261231,0.02371542,0.600618663,110.95555555555555,2.5,-19.58,2.7,3.0,178659.0,-13.52,26110,178659.0
RET,,,0.933333333,1.0,0.004110393,0.0057476,0.664093932,158.0,2.271428571428572,3.43,-1.6,1.0,213267.0,3.02,31837,213267.0
RF4,0.834708035,0.13760855,0.66442953,0.702892885,,0.01251615,0.660074632,963.3888888888889,2.2,-2.31,0.1,4.0,1006856.49648,-0.67,86809,1006856.49648
RFF,0.805046848,0.010649627,0.65060241,0.793269231,0.034184823,0.00632764,0.710091658,508.74444444444447,2.585714285714286,-1.03,-1.9,3.0,359643.0,0.61,33203,359643.0
RFR,0.724209008,0.022164948,0.80952381,0.864035088,0.008337502,0.01181423,0.692759365,498.97777777777776,2.8714285714285714,-1.07,5.8,3.0,408001.0,0.86,43532,408001.0
RFS,0.803483428,0.056994819,0.725761773,0.775657895,0.150570165,0.02600237,0.618471667,589.1888888888889,2.3285714285714283,-3.55,-4.5,4.0,428130.72341,0.02,36439,428130.72341
RGM,,,0.76744186,0.0,0.050732218,0.00454287,0.787809956,244.63333333333333,2.142857142857143,0.0,2.1,1.0,335842.03909,0.57,22748,335842.03909
RGN,0.735193485,0.105478589,0.68627451,0.83985025,0.362140309,0.00515321,0.613484225,1108.7777777777778,2.042857142857143,0.0,2.6,3.0,780881.0,1.09,54876,780881.0
RGP,0.728121354,0.06377551,0.72519084,0.757103575,0.356298082,0.03975386,0.554939531,0.0,2.2285714285714286,-5.57,-3.3,4.0,363043.81606000004,-4.01,46822,363043.81606000004
RGR,0.749315519,0.098330241,0.81595092,0.850906649,0.137193694,0.01421362,0.660074845,526.8444444444444,2.742857142857143,-4.91,1.3,3.0,427951.0,-6.58,60270,427951.0
RGT,0.685798851,0.115904139,0.728171334,0.867663143,0.298525981,0.01610336,0.629280397,1127.111111111111,2.942857142857143,0.0,7.2,2.0,1627187.0,-0.42,158251,1627187.0
RH5,0.740631618,0.032534247,0.779069767,0.780707842,0.192891068,0.01964272,0.654100681,1315.1,2.6999999999999997,0.0,3.0,2.0,1163546.0,-1.5,142395,1163546.0
RH8,0.703364064,0.056745182,0.709549072,0.815682281,0.323176957,0.01771013,0.627733612,1160.9555555555555,2.5142857142857147,0.0,2.9,3.0,1215317.0,-1.45,155240,1215317.0
RHM,0.816115121,0.030895581,0.791878173,0.805729984,0.162372111,0.01953819,0.635041389,1284.2888888888888,2.4142857142857146,-1.0,-0.1,3.0,1453977.6,-0.21,158138,1453977.6
RHQ,0.742106401,0.043805935,0.575460123,0.808890578,0.426602126,0.01969186,0.660373017,1639.5444444444445,2.5,0.0,2.3,2.0,1764997.0,0.15,110576,1764997.0
RHU,0.827063921,0.130162242,0.723669309,0.72,0.42589528,0.03573836,0.614366482,1178.2666666666667,,-2.84,-1.2,4.0,959011.0,-1.81,63580,959011.0
RHW,0.785955826,0.040930233,0.788671024,0.871258713,0.132478223,0.00103818,0.837841735,665.5333333333333,2.242857142857143,-3.24,6.8,3.0,673899.0,-3.1,148346,673899.0
RJ1,0.772054606,0.013282732,0.65034965,0.867909868,0.341751598,0.0073301,0.684568907,1292.9444444444443,2.7857142857142856,0.0,7.3,1.0,3170635.0,0.42,419675,3170635.0
RJ2,0.779607315,0.101600784,0.74025974,0.814491882,0.144482572,0.01517344,0.649039679,1059.0666666666666,2.6714285714285713,0.0,6.0,3.0,908060.0,2.02,85016,908060.0
RJ6,0.761046694,0.113050076,0.785714286,0.803234501,0.089848547,0.00866149,0.710149411,491.85555555555555,2.0,-2.22,-14.1,3.0,,,84335,491.85555555555555
RJ7,0.810185185,0.076709283,0.772378517,0.815249267,0.059808975,0.00637504,0.633816064,889.0,2.2857142857142856,-3.26,-0.4,3.0,1328169.95135,0.51,147171,1328169.95135
RJC,0.779451138,0.021151586,0.626760563,0.822929936,0.035261774,0.00579027,0.688705605,483.93333333333334,2.6,0.47,-1.6,3.0,513236.0,-2.18,42922,513236.0
RJE,0.681899677,0.139726897,0.732034105,0.809744214,0.218441484,0.0182484,0.647350841,1418.5,2.371428571428571,0.0,-1.8,3.0,1292877.589,1.64,109802,1292877.589
