trust_code,catch_pop,pop65,lsoas,age65pct,minoritypct,imd_decile,imd_score
R0A,681321,77415,385,11.4,33.7,4.1,31.4
R0B,319508,55204,214,17.3,6.4,3.5,34.0
R0D,233573,47302,142,20.3,7.0,6.7,15.1
R1F,84731,21940,54,25.9,3.1,3.9,26.8
R1H,724996,56039,388,7.7,58.7,3.9,27.5
R1K,573470,63455,313,11.1,64.6,4.5,23.9
RA2,401887,62713,239,15.6,14.7,7.7,10.8
RA7,236319,33704,141,14.3,11.8,5.9,20.7
RA9,301634,69398,191,23.0,3.3,5.2,21.5
RAE,377200,44856,215,11.9,44.2,3.2,37.8
RAJ,1087801,183341,652,16.9,12.1,6.1,17.9
RAL,982829,113779,557,11.6,43.6,4.5,25.4
RAN,1808,216,1,11.9,45.8,5.0,17.6
RAS,278309,34113,154,12.3,47.9,5.6,19.2
RAX,482705,63181,283,13.1,26.7,7.6,11.5
RBD,260175,61207,150,23.5,4.8,5.4,20.0
RBK,296736,46734,178,15.7,27.0,4.1,30.2
RBL,212126,43667,138,20.6,4.2,5.9,21.3
RBN,272685,49042,178,18.0,5.2,5.2,25.5
RBQ,31553,4605,19,14.6,15.3,3.3,39.6
RBS,140367,21511,90,15.3,6.4,3.5,36.3
RBT,209344,37789,127,18.1,5.1,6.3,17.9
RBV,33045,4258,20,12.9,18.5,5.1,24.3
RC9,573514,77613,338,13.5,29.4,5.7,20.1
RCB,365012,75608,220,20.7,4.2,6.5,16.7
RCD,577223,98488,357,17.1,13.9,6.0,21.6
RCF,102529,19855,59,19.4,15.6,5.8,20.8
RCU,33236,5613,20,16.9,15.0,5.8,19.0
RCX,98763,20525,58,20.8,4.6,4.4,24.9
RD1,121799,21050,73,17.3,8.0,7.6,11.4
RD8,221625,27531,126,12.4,27.3,6.1,17.9
RDE,765238,151320,454,19.8,8.7,5.6,20.4
RDU,467843,61906,276,13.2,29.5,7.0,13.6
REF,537119,118839,316,22.1,3.2,4.7,22.4
REM,381965,66140,248,17.3,7.0,4.8,26.9
REP,408006,58351,258,14.3,13.8,3.2,38.0
RET,4640,791,3,17.0,6.5,2.3,45.1
RF4,684706,83958,380,12.3,40.9,5.3,20.4
RFF,49874,8488,30,17.0,4.1,4.7,25.1
RFR,395680,66056,249,16.7,7.2,4.0,31.6
RFS,295806,61292,190,20.7,2.9,5.3,21.6
RGM,174253,31410,100,18.0,9.4,5.4,20.4
RGN,291202,46282,170,15.9,13.3,6.0,19.1
RGP,212838,48307,131,22.7,3.9,4.3,28.4
RGR,247702,50506,149,20.4,6.0,6.1,16.5
RGT,626165,93526,356,14.9,13.9,6.9,14.3
RH5,678613,146726,409,21.6,3.7,5.6,18.9
RH8,554730,119316,324,21.5,4.3,5.8,18.1
RHM,607592,104910,373,17.3,11.1,6.0,18.6
RHQ,737606,116385,457,15.8,17.0,4.8,27.0
RHU,628763,112809,390,17.9,7.8,6.3,18.3
RHW,635626,93231,376,14.7,20.2,7.6,11.5
RJ1,1121386,109831,658,9.8,39.5,5.3,20.2
RJ2,201227,18535,117,9.2,46.0,4.5,23.8
RJ6,370368,41131,217,11.1,50.5,5.0,22.2
RJ7,126520,10484,72,8.3,33.9,6.2,17.0
RJC,599445,106233,359,17.7,11.7,6.3,16.8
RJE,652611,119976,406,18.4,9.8,5.3,22.7
RJL,319221,61873,202,19.4,5.5,5.2,25.3
RJN,293625,57516,178,19.6,5.6,7.0,14.5
RJR,253044,46340,162,18.3,5.4,6.4,18.2
RJZ,504942,60101,289,11.9,35.0,5.7,19.1
RK5,363212,65239,219,18.0,6.9,4.9,24.5
RK9,370307,69087,220,18.7,4.7,5.1,22.5
RKB,314338,39834,184,12.7,32.9,4.5,26.8
RKE,333553,32431,197,9.7,36.8,4.3,25.6
RL1,106122,21400,67,20.2,5.8,5.2,24.1
RL4,411012,63438,252,15.4,28.4,4.3,27.7
RLQ,301418,59283,178,19.7,9.6,5.9,17.6
RLT,18425,2115,11,11.5,16.5,6.3,17.1
RM1,685748,145076,414,21.2,5.6,5.7,18.7
RM3,800625,109780,473,13.7,26.7,3.8,33.1
RMC,416922,63252,250,15.2,23.8,4.2,30.4
RMP,87688,13961,55,15.9,15.3,4.0,28.5
RN3,615519,104953,368,17.1,10.5,6.7,15.3
RN5,385305,66723,234,17.3,8.6,7.6,11.7
RN7,177182,24660,103,13.9,21.7,4.9,23.0
RNA,300534,54021,189,18.0,13.7,5.1,23.3
RNN,424460,87775,270,20.7,2.4,5.2,22.1
RNQ,293712,47509,167,16.2,9.4,5.9,18.3
RNS,417530,62203,237,14.9,14.6,6.1,17.5
RNZ,342363,63163,204,18.4,7.1,6.4,16.1
RP4,158855,15569,86,9.8,53.5,4.8,22.9
RP5,306823,53506,195,17.4,5.2,4.1,29.4
RP6,241955,24096,140,10.0,37.7,5.3,21.5
RPA,562730,86778,337,15.4,13.2,5.2,22.6
RPC,29451,5226,17,17.7,5.4,7.6,10.8
RPY,62004,8033,38,13.0,36.3,7.4,12.1
RQ3,73522,7969,41,10.8,59.1,2.8,40.2
RQM,515064,53415,288,10.4,46.7,4.8,22.2
RQW,324432,47774,196,14.7,14.0,6.4,15.6
RQX,520846,38920,291,7.5,48.4,3.5,30.0
RR7,155761,26614,102,17.1,6.0,4.4,28.0
RR8,626672,83371,378,13.3,20.8,4.8,26.5
