code,name,region,subtype,budget,pain,digital,buyer,raw_opportunity_score,target,band,distress,distress_reason,trend,top_pain,sales_play,trigger,next_action,confidence,confidence_reason,beds,dma_overall,finance_planned_sd_pct,segment,dqmi,dq_weak,shmi,shmi_band,cqc_overall,cqc_well_led,cqc_below_good,q3_var_pct,q3_forecast_deficit,q3_dsf,fdp_live,fdp_benefits,op_income_k,op_margin_pct,capital_k,pursuit_rank
RJE,University Hospitals of North Midlands NHS Trust,Midlands,Acute - Teaching,84.3,68.8,71.8,,75.0,75.0,A,False,,Improving,A&E 4-hour,UEC / A&E flow,A&E 4-hour under pressure,Call,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1418,2.37,0.0,3,92.0,,1.268,1.0,Good,Good,No,0.0,No,No,Yes,Yes,1292878.0,1.64,109802,1
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,Midlands,Acute - Teaching,89.1,78.3,47.4,,74.8,74.8,A,False,,Improving,Cancer FDS,Cancer / diagnostics pathway,Cancer FDS under pressure,Call,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1592,2.53,-2.39,3,91.9,,0.891,2.0,Good,Good,No,-1.5,No,Yes,Yes,Yes,1351887.0,2.37,98606,2
R1H,Barts Health NHS Trust,London,Acute - Teaching,97.7,55.1,52.7,,69.6,69.6,B,False,,Improving,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),2213,3.0,0.0,3,89.7,,1.025,2.0,Requires improvement,Good,Yes,-0.6,No,No,Yes,Yes,2652139.0,3.19,232617,3
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Acute - Teaching,76.2,65.5,57.0,,67.3,67.3,B,False,,Volatile,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1640,2.5,0.0,2,89.1,,0.936,2.0,Good,Requires improvement,No,0.0,No,No,No,No,1764997.0,0.15,110576,4
RTH,Oxford University Hospitals NHS Foundation Trust,South East,Acute - Teaching,87.7,51.0,62.8,,66.7,66.7,B,False,,Volatile,Cancer 62-day,Cancer / diagnostics pathway,Cancer 62-day under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1103,2.3,-1.02,3,91.8,,0.9,2.0,Good,Good,No,0.0,No,Yes,Yes,No,1752455.0,1.64,174366,5
RAL,Royal Free London NHS Foundation Trust,London,Acute - Teaching,83.8,44.7,68.1,,64.0,64.0,B,False,,Improving,A&E 12-hour,UEC / A&E flow,A&E 12-hour under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1529,2.24,-1.97,3,88.8,,0.862,2.0,Good,Good,No,-0.2,No,No,No,No,1877585.0,0.59,281114,6
RR8,Leeds Teaching Hospitals NHS Trust,North East and Yorkshire,Acute - Teaching,83.2,41.4,73.0,,63.6,63.6,B,False,,Improving,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1932,2.49,0.0,3,41.3,APC;CSDS;ECDS;MHSDS;MSDS;OP,1.124,2.0,Good,Good,No,-0.9,No,No,Yes,Yes,2124726.0,0.52,180144,7
RJZ,King's College Hospital NHS Foundation Trust,London,Acute - Teaching,79.4,57.2,49.9,,63.3,63.3,B,False,,Improving,Cancer FDS,Cancer / diagnostics pathway,Cancer FDS under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1477,2.51,-4.06,3,90.7,,0.965,2.0,Requires improvement,Requires improvement,Yes,0.2,No,Yes,No,No,1936409.0,0.17,155652,8
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North East and Yorkshire,Acute - Teaching,89.8,34.5,72.8,,63.0,63.0,B,False,,Improving,Cancer 62-day,Cancer / diagnostics pathway,Cancer 62-day under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1563,2.36,0.0,3,91.2,,0.853,3.0,Requires improvement,Requires improvement,Yes,0.0,No,No,Yes,Yes,1772674.0,1.95,137517,9
RGN,North West Anglia NHS Foundation Trust,East,Acute - Large,70.3,61.0,54.9,,62.8,62.8,B,False,,Improving,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1109,2.04,0.0,3,94.3,,1.0,2.0,Good,Good,No,-0.2,No,No,Yes,Yes,780881.0,1.09,54876,10
RXQ,Buckinghamshire Healthcare NHS Trust,South East,Acute - Multi-Service,62.0,53.6,76.6,,62.0,62.0,B,False,,Improving,Cancer FDS,Cancer / diagnostics pathway,Cancer FDS under pressure,Enrich,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),532,2.26,-1.81,3,85.9,,0.807,3.0,Good,Good,No,0.0,No,Yes,Yes,Yes,709896.0,0.58,106129,11
RH8,Royal Devon University Healthcare NHS Foundation Trust,South West,Acute - Large,62.0,64.6,56.6,,61.8,61.8,C,False,,Improving,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1161,2.51,0.0,3,85.4,,0.955,2.0,Good,Good,No,,No,No,Yes,Yes,1215317.0,-1.45,155240,12
RHM,University Hospital Southampton NHS Foundation Trust,South East,Acute - Teaching,71.9,46.0,71.9,,61.2,61.2,C,False,,Improving,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1284,2.41,-1.0,3,93.0,,0.81,3.0,Good,Good,No,-2.8,No,Yes,Yes,Yes,1453978.0,-0.21,158138,13
RC9,Bedfordshire Hospitals NHS Foundation Trust,East,Acute - Medium,64.9,53.9,68.3,,61.1,61.1,C,False,,Volatile,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1138,2.0,0.0,3,95.6,,0.978,2.0,Good,Good,No,-1.4,No,No,Yes,No,911244.0,0.11,143034,14
RRV,University College London Hospitals NHS Foundation Trust,London,Acute - Teaching,93.6,39.1,50.9,,61.1,61.1,C,False,,Volatile,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),899,3.39,0.67,1,84.6,,0.829,3.0,Good,Good,No,0.1,No,No,No,No,1779948.0,2.79,219129,15
RD8,Milton Keynes University Hospital NHS Foundation Trust,East,Acute - Teaching,52.8,71.8,54.4,,61.0,61.0,C,False,,Improving,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),615,2.07,0.0,3,92.0,,1.121,2.0,Good,Good,No,0.0,No,No,Yes,Yes,444542.0,1.03,68474,16
RJ7,St George's University Hospitals NHS Foundation Trust,London,Acute - Teaching,75.9,37.6,77.2,,60.5,60.5,C,False,,Improving,RTT 18-week,Elective recovery / RTT,RTT 18-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),889,2.29,-3.26,3,92.5,,0.854,3.0,Requires improvement,Requires improvement,Yes,0.0,No,Yes,No,No,1328170.0,0.51,147171,17
RBD,Dorset County Hospital NHS Foundation Trust,South West,Acute - Small,56.7,65.6,56.8,,60.4,60.4,C,False,,Volatile,Cancer 62-day,Cancer / diagnostics pathway,Cancer 62-day under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),365,2.17,-3.18,3,91.8,,1.015,2.0,Good,Good,No,,No,No,No,No,353288.0,5.01,50333,18
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,East,Acute - Teaching,83.9,47.3,46.3,,60.0,60.0,C,False,,Volatile,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),995,2.36,-0.28,3,95.2,,1.164,1.0,Requires improvement,Requires improvement,Yes,-1.1,No,Yes,Yes,Yes,1083172.0,2.2,86370,19
RA9,Torbay and South Devon NHS Foundation Trust,South West,Acute - Multi-Service,31.4,75.9,74.7,,59.9,59.9,C,False,,Worsening,A&E 4-hour,UEC / A&E flow,A&E 4-hour worsening,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),386,1.51,-5.51,3,90.5,,0.951,2.0,Requires improvement,Good,Yes,,No,Yes,No,No,729285.0,-5.84,82416,20
RGT,Cambridge University Hospitals NHS Foundation Trust,East,Acute - Teaching,71.5,62.9,36.5,,59.7,59.7,C,False,,Worsening,A&E 4-hour,UEC / A&E flow,A&E 4-hour worsening,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1127,2.94,0.0,2,88.5,,0.986,2.0,Good,Good,No,0.4,No,No,Yes,No,1627187.0,-0.42,158251,21
RKB,University Hospitals Coventry and Warwickshire NHS Trust,Midlands,Acute - Teaching,86.9,54.4,26.5,,59.3,59.3,C,False,,Improving,RTT 18-week,Elective recovery / RTT,RTT 18-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1150,2.91,-1.62,3,88.4,,1.208,1.0,Good,Good,No,0.0,No,Yes,Yes,Yes,1125525.0,2.6,70383,22
R0A,Manchester University NHS Foundation Trust,North West,Acute - Teaching,88.9,39.5,46.9,,58.7,58.7,C,False,,Improving,RTT 18-week,Elective recovery / RTT,RTT 18-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),2275,3.41,0.0,3,87.6,,1.042,2.0,Good,Good,No,0.0,No,No,Yes,Yes,3099231.0,1.01,200032,23
RVJ,North Bristol NHS Trust,South West,Acute - Large,85.8,35.1,56.3,,58.0,58.0,C,False,,Improving,Cancer 62-day,Cancer / diagnostics pathway,Cancer 62-day under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1066,2.14,0.0,2,90.0,,0.95,2.0,Good,Good,No,,No,No,Yes,No,1051002.0,2.98,75771,24
RN3,Great Western Hospitals NHS Foundation Trust,South West,Acute - Medium,56.2,69.1,40.5,,57.8,57.8,C,False,,Improving,RTT 18-week,Elective recovery / RTT,RTT 18-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),615,2.09,-1.86,3,92.0,,0.981,2.0,Good,Good,No,-1.4,No,Yes,Yes,Yes,564997.0,0.59,38665,25
RJ1,Guy's and St Thomas' NHS Foundation Trust,London,Acute - Teaching,83.2,43.7,42.2,,57.3,57.3,C,False,,Volatile,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1293,2.79,0.0,1,91.6,,0.949,2.0,Good,Good,No,0.0,No,No,No,No,3170635.0,0.42,419675,26
RJ2,Lewisham and Greenwich NHS Trust,London,Acute - Large,78.6,53.0,31.2,,56.9,56.9,C,False,,Improving,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1059,2.67,0.0,3,86.9,,0.896,2.0,Good,Good,No,0.0,No,No,Yes,Yes,908060.0,2.02,85016,27
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,London,Acute - Specialist,68.4,40.5,67.2,,56.6,56.6,C,False,,Improving,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Monitor,Medium,5/6 features present; missing: pain (>=6/7); buyer-openness deferred (no procurement source in MVP),225,2.16,0.0,3,90.6,,,,Good,Good,No,-1.0,No,No,No,No,775847.0,0.95,112446,28
RH5,Somerset NHS Foundation Trust,South West,Acute - Multi-Service,61.1,54.8,49.4,,55.8,55.8,C,False,,Improving,RTT 52-week,Elective recovery / RTT,RTT 52-week under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1315,2.7,0.0,2,75.0,,1.012,2.0,Good,Good,No,0.0,No,No,Yes,Yes,1163546.0,-1.5,142395,29
RWH,East and North Hertfordshire Teaching NHS Trust,East,Acute - Large,54.4,47.8,67.7,,54.8,54.8,C,False,,Volatile,Diagnostics 6-wk,Cancer / diagnostics pathway,Diagnostics 6-wk under pressure,Monitor,Medium,5/6 features present; missing: DMA; buyer-openness deferred (no procurement source in MVP),0,,0.0,2,93.3,,0.912,2.0,Requires improvement,Requires improvement,Yes,0.0,No,No,No,No,717280.0,-0.28,91732,30
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,South West,Acute - Teaching,54.0,37.6,79.1,,53.1,53.1,C,False,,Improving,Cancer 62-day,Cancer / diagnostics pathway,Cancer 62-day under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1094,1.91,0.0,1,92.2,,0.88,2.0,Good,Good,No,,No,No,Yes,No,1346789.0,-2.9,145653,31
RTR,South Tees Hospitals NHS Foundation Trust,North East and Yorkshire,Acute - Teaching,67.1,48.3,39.6,,52.9,52.9,C,False,,Improving,Cancer 62-day,Cancer / diagnostics pathway,Cancer 62-day under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),997,2.67,-2.04,3,91.9,,1.007,2.0,Good,Good,No,0.0,No,Yes,Yes,Yes,1041856.0,-0.03,65129,32
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Midlands,Acute - Medium,69.8,53.4,23.3,,52.1,52.1,C,False,,Improving,A&E 4-hour,UEC / A&E flow,A&E 4-hour under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),768,2.59,-1.82,3,86.9,,1.069,2.0,Good,Good,No,-2.6,No,Yes,Yes,Yes,582073.0,3.97,44047,33
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,London,Acute - Teaching,74.3,46.6,27.8,,52.0,52.0,C,False,,Improving,Cancer FDS,Cancer / diagnostics pathway,Cancer FDS under pressure,Monitor,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),877,3.1,0.0,1,94.1,,0.746,3.0,Good,Good,No,0.0,No,No,Yes,Yes,1036319.0,0.65,108210,34
RA2,Royal Surrey NHS Foundation Trust,South East,Acute - Medium,52.5,43.6,64.6,,51.7,51.7,D,False,,Improving,A&E 4-hour,UEC / A&E flow,A&E 4-hour under pressure,No action,Medium,5/6 features present; missing: DMA; buyer-openness deferred (no procurement source in MVP),539,,-0.92,3,87.5,,0.81,3.0,Good,Good,No,0.0,No,Yes,Yes,Yes,624612.0,-0.16,72289,35
RDU,Frimley Health NHS Foundation Trust,South East,Acute - Large,59.2,40.7,59.4,,51.6,51.6,D,False,,Improving,RTT 18-week,Elective recovery / RTT,RTT 18-week under pressure,No action,High,6/6 features present; buyer-openness deferred (no procurement source in MVP),1520,2.76,-1.85,3,89.6,,1.067,2.0,Good,Good,No,0.0,No,Yes,No,No,1121322.0,-1.68,142987,36
